category_id;price
489756;32.1177525403
361254;30.7113695887
361254;31.5726068851
489756;34.5438399347
489756;47.205824497
361254;32.0707335566
874521;66.3239347293
874521;34.5978993056
874521;31.9433347652
361254;41.5241350735
361254;37.0716105129
361254;32.9077140808
361254;201436.8876365541
874521;34.9166666667
489756;35.5818203788
489756;38.6598459316
326584;30.0
489756;32.8982788516
489756;34.5820745217
326584;31.9041450777
489756;33.2058184533
489756;30.2100835731
874521;34.6933695094
326584;30.7950310559
361254;34.9812952811
489756;32.80553552
489756;35.4090070415
489756;31.0946088009
874521;35.8660693578
489756;42.0546873576
489756;32.9288678955
361254;30.0
874521;32.7939585807
675201;32.8452077259
201436;30.0
874521;47.0809300726
489756;35.0715636138
361254;35.1536043631
489756;99.1699724641
489756;46.0456081753
489756;30.0
489756;35.7698370052
489756;34.9522970824
361254;35.6529444399
874521;30.9553784861
361254;34.8153138807
489756;38.762588513
201436;32.6534635225
874521;35.892906082
489756;35.000345638
874521;35.003414264
489756;31.7733969127
361254;34.7078614581
874521;30.0
489756;30.7814327926
489756;33.5097192225
489756;45.2497747932
874521;37.6177362006
489756;102.230092941
489756;35.9283148133
489756;30.0077187542
489756;36.5253323831
489756;30.8627618235
361254;30.9260844911
326584;31.5259259259
489756;65.346760727
489756;30.0
874521;62.5636363636
361254;35.0024631137
489756;36.687620421
489756;55.0009296791
489756;33.6706428098
489756;31.5115767838
489756;31.723677799
361254;32.4425698813
489756;46.236436718
361254;33.3351655718
489756;30.7110015175
489756;34.7429718876
489756;38.7972299684
874521;31.5551196548
489756;33.6469464329
361254;30.0
489756;34.8625523742
874521;30.2662632375
675201;31.4320383146
489756;30.0
489756;35.635784234
489756;37.6748071722
489756;74.3828514183
489756;61.7738729418
489756;35.0512469438
489756;33.037358813
361254;96.4961941009
675201;53.4766096039
874521;30.0
874521;31.2404647638
489756;31.6467506725
489756;43.1941200634
489756;47.9992688367
489756;441.638389485
489756;34.5329227159
489756;30.0
489756;55.9302570937
489756;34.4391650331
326584;34.7713266034
874521;32.7653301887
874521;31.5253198981
874521;30.0
489756;33.9531052985
361254;55.6868864778
489756;75.7075904381
675201;37.2446914565
874521;35.0293655389
361254;34.4576062179
489756;34.7314739239
489756;69.588821716
361254;88.2092596837
361254;30.9951899692
489756;44.60422928
489756;34.8919456414
874521;37.4254400741
361254;38.1205613273
489756;30.0
489756;33.8071432742
874521;109.538933031
361254;35.0396074969
489756;34.5792663161
489756;43.5011090991
326584;33.0272202889
361254;34.9979084397
361254;30.9965198439
489756;56.4368863879
675201;30.0
874521;35.0997439608
361254;33.1293103448
874521;31.5341614907
489756;33.7661620186
489756;54.8547602012
361254;35.0
675201;59.8864625003
874521;34.0731197109
489756;65.257928151
489756;93.4735921697
361254;30.9027431421
675201;32.4549206863
361254;30.0
489756;48.4966654715
489756;56.5961964012
874521;30.0
489756;34.502576558
874521;30.7537879971
361254;31.4055479586
874521;34.9987375508
489756;41.0006968437
361254;34.2963729899
489756;105.157120506
489756;30.0
489756;47.6066316106
874521;69.4530319929
489756;33.8487669015
489756;30.0
361254;30.0
361254;35.1823722771
874521;37.1298351359
874521;33.4733474371
489756;30.0
874521;41.9408082952
361254;30.1084185495
874521;56.9141518233
874521;30.0
361254;30.9739834741
361254;50.6449094438
874521;34.1959221543
874521;32.9268292683
874521;34.8481329184
489756;31.3523657143
489756;31.2027025024
675201;32.3923815423
326584;30.0
201436;31.2859780305
874521;34.9897119342
